Dif/Atom/Shape/Bord 2Y9A_reres.p 0.005966
0.317647E+00 0.379724E+06 74277.1
0.319608E+00 0.379039E+06 74327.9
0.321569E+00 0.378314E+06 74372.1
0.323529E+00 0.377527E+06 74405.8
0.325490E+00 0.376647E+06 74422.8
0.327451E+00 0.375648E+06 74418
0.329412E+00 0.374507E+06 74386.7
0.331373E+00 0.373209E+06 74325.6
0.333333E+00 0.371753E+06 74234.4
0.335294E+00 0.370109E+06 74106.8
0.337255E+00 0.368277E+06 73942.3
0.339216E+00 0.366246E+06 73738.2
0.341176E+00 0.364008E+06 73492.4
0.343137E+00 0.361555E+06 73202.8
0.345098E+00 0.358891E+06 72869.5
0.347059E+00 0.356010E+06 72490.6
0.349020E+00 0.352912E+06 72065.4
0.350980E+00 0.349603E+06 71594.5
0.352941E+00 0.346088E+06 71078.2
0.354902E+00 0.342375E+06 70517.4
0.356863E+00 0.338474E+06 69913.5
0.358824E+00 0.334399E+06 69268.5
0.360784E+00 0.330163E+06 68584.7
0.362745E+00 0.325782E+06 67864.7
0.364706E+00 0.321277E+06 67112.4
0.366667E+00 0.316669E+06 66331.3
0.368627E+00 0.311983E+06 65526.6
0.370588E+00 0.307248E+06 64703.7
0.372549E+00 0.302490E+06 63867.9
0.374510E+00 0.297737E+06 63024.7
0.376471E+00 0.293019E+06 62180.3
0.378431E+00 0.288375E+06 61343
0.380392E+00 0.283827E+06 60517.2
0.382353E+00 0.279408E+06 59710.1
0.384314E+00 0.275147E+06 58927.9
0.386275E+00 0.271074E+06 58177.1
0.388235E+00 0.267216E+06 57463.8
0.390196E+00 0.263600E+06 56794
0.392157E+00 0.260240E+06 56170.8
0.394118E+00 0.257161E+06 55600
0.396078E+00 0.254382E+06 55085.8
0.398039E+00 0.251908E+06 54629.7
0.400000E+00 0.249754E+06 54235
0.401961E+00 0.247922E+06 53902.6
0.403922E+00 0.246414E+06 53632.8
0.405882E+00 0.245226E+06 53425.1
0.407843E+00 0.244352E+06 53278.2
0.409804E+00 0.243787E+06 53191.2
0.411765E+00 0.243509E+06 53159.1
0.413725E+00 0.243508E+06 53179.8
0.415686E+00 0.243768E+06 53249.7
0.417647E+00 0.244259E+06 53362.1
0.419608E+00 0.244967E+06 53513.8
0.421569E+00 0.245864E+06 53698.5
0.423529E+00 0.246926E+06 53910.6
0.425490E+00 0.248126E+06 54144.2
0.427451E+00 0.249438E+06 54393.2
0.429412E+00 0.250839E+06 54652.3
0.431373E+00 0.252302E+06 54915.5
0.433333E+00 0.253805E+06 55177.6
0.435294E+00 0.255323E+06 55433
0.437255E+00 0.256837E+06 55677.4
0.439216E+00 0.258328E+06 55906.5
0.441176E+00 0.259777E+06 56115.9
0.443137E+00 0.261171E+06 56302.9
0.445098E+00 0.262486E+06 56462.1
0.447059E+00 0.263720E+06 56593.1
0.449020E+00 0.264862E+06 56693.6
0.450980E+00 0.265904E+06 56761.8
0.452941E+00 0.266838E+06 56796.3
0.454902E+00 0.267657E+06 56795.6
0.456863E+00 0.268361E+06 56760
0.458824E+00 0.268944E+06 56688.4
0.460784E+00 0.269408E+06 56581.5
0.462745E+00 0.269749E+06 56438.8
0.464706E+00 0.269969E+06 56261
0.466667E+00 0.270065E+06 56048
0.468627E+00 0.270039E+06 55800.4
0.470588E+00 0.269893E+06 55519.2
0.472549E+00 0.269627E+06 55204.8
0.474510E+00 0.269243E+06 54858.1
0.476471E+00 0.268740E+06 54479.6
0.478431E+00 0.268120E+06 54069.9
0.480392E+00 0.267383E+06 53629.8
0.482353E+00 0.266529E+06 53159.9
0.484314E+00 0.265556E+06 52660.3
0.486275E+00 0.264467E+06 52132.4
0.488235E+00 0.263263E+06 51576.9
0.490196E+00 0.261942E+06 50994.1
0.492157E+00 0.260510E+06 50385.9
0.494118E+00 0.258961E+06 49752
0.496078E+00 0.257299E+06 49093.6
0.498039E+00 0.255527E+06 48412.2
0.500000E+00 0.253647E+06 0
