# 10-Oct-2012       (1.000 *078554_009.dat - 1.005 *078547_002.dat) /  1.0000  
#078554_009.d  Conc = .10E+01  Mult = .10E+01  N1 =    1  N2 =   78  SCALE =  1
# 547_002.dat  Conc = .10E+01  Mult = .10E+01  N1 =    1  N2 =   78  SCALE =  1
#Solid Angle Correction:                                                         
#Divide data by empty beam flux, I0, from worksheet: Trans Empty Beam 1 10       
#Applying Default Instrument Mask                                                
#Applying User Defined Mask                                                      
#Applying NanInf Mask                                                            
#Intensity units are:  cm-1 \\ \Delta\Omega                                      
#                                                                                
#***** Analysis *****                                                            
#Averaging I vs. Q.  Bin size:  1 [Pixel(s)]                                     
#                                                                                
#                                                                                
#Mod_Q   	I       	Err_I   	Sigma_Q                                             
#                                                                                
#                                                                                
#----------Z:\home\ill\Experiments_D22\Lapinaite_Oct12\078547_002.dat-----------------------------
#GRASP V.6.54    Instrument:  ILL_d22                                            
#                                                                                
#***** Sample, Backgrounds and Transmissions Data: *****                         
#Subtitle:  buff_42D2O                                                           
#Start: 07-Oct-12   22:14:01   End: 07-Oct-12   22:34:01                         
#                                                                                
#Foreground:  78547 , Loaded: 78559                                              
#Background: Sum 78487 , Loaded: 78487                                           
#Cadmium: Sum 78488 , Loaded: 78488                                              
#Det: 1 : Applying Deadtime Correction per (vertical) Tube: 1/[1-tau/detector_rat
#Data Normalisation: Standard Monitor (10000000) counts                          
#Attenuator: 0 is In.  Attenuation factor 1                                      
#Attenuator: 0 is In. Up-scaling data by 1                                       
#Attenuator2: is Out                                                             
#Attenuator2: Up-scaling data by 1                                               
#                                                                                
#Beam Centre1 :  Cx = 63.7059  Cy = 64.4828       Cm Translation :  Tx = 0  Ty = 
#Transmissions:  Ts = 0.65042 +/- 0.00060264  Te = 0.94554 +/- 0.0007691         
#Transmissions Thickness Correction is:  on                                      
#Applying standard SANS data reduction:  I_corr = 1/[Ts Te] [I_s - I_cd]  - 1/[Te
#Data: Corrected for D22 Detector Paralax                                        
#                                                                                
#***** Calibrations: *****                                                       
#Data: Corrected for Detector Efficiency (doesn't change magnitude but contains c
#Data: Divided by Volume 0.1 cm3                                                 
#Solid Angle Correction:                                                         
#Divide data by empty beam flux, I0, from worksheet: Trans Empty Beam 1 3        
#Applying Default Instrument Mask                                                
#Applying User Defined Mask                                                      
#Applying NanInf Mask                                                            
#Intensity units are:  cm-1 \\ \Delta\Omega                                      
#                                                                                
#***** Analysis *****                                                            
#Averaging I vs. Q.  Bin size:  1 [Pixel(s)]                                     
#                                                                                
#                                                                                
#Mod_Q   	I       	Err_I   	Sigma_Q                                             
#                                                                                
#                                                                                
